config,description,lr,weight_decay,batch_size,max_epochs,patience,val_r2,test_r2,test_mae,test_rmse,epochs_run,time_s
scratch_wind_flex_256_128,"ScratchFlexMLP hidden=[256,128], mirrors baseline width",0.01,0.0001,512,90,12,0.956077,0.970979,135.515,228.6167,26,20.9
scratch_wind_residual_128x2,"ScratchResidualMLP hidden=128, blocks=2, dropout=0.1",0.005,0.001,512,90,12,0.949859,0.964871,180.2006,251.5272,40,74.7
