task,metric,ml_model,ml_value,sklearn_dnn_model,sklearn_dnn,pytorch_dnn_model,pytorch_dnn,delta_pt_vs_sklearn_dnn,delta_pt_vs_ml
heart_classification,roc_auc,StackingClassifier,0.9784,"MLP(256x128,relu,a=0.0001,lr=0.01)",0.9416,pt_adamw,0.9485,0.0069,-0.0299
temperature_regression,r2,Stacking,0.7766,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.7439,pt_adamw,0.7486,0.0047,-0.028
