val_metric,test_metric,test_acc,test_f1,test_bacc,epochs,time_s,architecture,task,task_type,test_mae,test_rmse
0.955995599559956,0.9316893424036281,0.8823529411764706,0.8914728682170543,0.8804563492063492,23,10.74477243423462,FeatureCross_128x2,heart_classification,binary,,
0.957975797579758,0.9393424036281179,0.8781512605042017,0.8816326530612245,0.8794642857142857,23,9.090131044387817,FeatureCross_64x3,heart_classification,binary,,
0.9630363036303631,0.9393424036281179,0.8865546218487395,0.891566265060241,0.8869047619047619,26,5.2013304233551025,SqueezeExcite_128x2,heart_classification,binary,,
0.9566556655665567,0.932468820861678,0.8697478991596639,0.8734693877551021,0.871031746031746,23,4.486053943634033,SqueezeExcite_64x3,heart_classification,binary,,
0.9554455445544555,0.9353741496598639,0.865546218487395,0.875968992248062,0.8635912698412699,25,7.058701038360596,MultiScale_128x2,heart_classification,binary,,
0.9545654565456545,0.9391298185941043,0.8949579831932774,0.9049429657794676,0.8918650793650793,27,8.996166467666626,MultiScale_64x3,heart_classification,binary,,
0.8646206574232747,0.8747017497348887,0.8218390804597702,0.8012820512820513,0.8185975609756098,21,8.112803220748901,FeatureCross_128x2,covid_classification,binary,,
0.8604143947655397,0.8528963414634146,0.7902298850574713,0.7794561933534743,0.7900318133616119,22,9.28263521194458,FeatureCross_64x3,covid_classification,binary,,
0.8821727164148102,0.8698966065747615,0.7873563218390804,0.7873563218390804,0.7899655355249204,22,5.832799196243286,SqueezeExcite_128x2,covid_classification,binary,,
0.876200862024199,0.8681733828207846,0.8160919540229885,0.8,0.8141569459172853,24,9.618448257446289,SqueezeExcite_64x3,covid_classification,binary,,
0.8985304045282235,0.872083775185578,0.8017241379310345,0.7952522255192879,0.8025583244962884,22,10.651886224746704,MultiScale_128x2,covid_classification,binary,,
0.8620241989925741,0.8653565747613997,0.7816091954022989,0.7877094972067039,0.785856309650053,25,12.339832305908203,MultiScale_64x3,covid_classification,binary,,
0.9995256497115234,0.9995588120494237,,,,56,140.38775324821472,FeatureCross_128x2,temperature_regression,regression,0.15286627502397257,0.20948628269894337
0.9995839120657471,0.9995882695907015,,,,58,165.15969061851501,FeatureCross_64x3,temperature_regression,regression,0.13971139021935283,0.20237191482267305
