Imputation_Method,Accuracy,Precision,Recall,F1-Score,AUC-ROC
KNN (k=5),0.8362068965517241,0.8364779874213837,0.8109756097560976,0.8235294117647058,0.8890177624602333
MICE (BayesianRidge),0.853448275862069,0.869281045751634,0.8109756097560976,0.8391167192429022,0.8867146076352068
XGBoost Imputer (Scaled),0.8362068965517241,0.8496732026143791,0.7926829268292683,0.8201892744479495,0.8851570784729587
XGBoost Imputer (No Scale),0.8304597701149425,0.8301886792452831,0.8048780487804879,0.8173374613003096,0.8807496023329798
