model,window_size,rmse,mae,r2,mape
Ridge Regression,24,359.5578397274362,259.00129248135846,0.9969300811822669,0.8414824650210176
XGBoost,24,424.59296980389297,318.57969507895007,0.9957191011716786,1.0310593079162322
Ridge Regression,168,266.6907746584926,194.93189564182012,0.9983123850317083,0.6259209696052423
XGBoost,168,426.1905121225031,322.7637691277118,0.9956901223909225,1.0426653564919743
