model,window_size,horizon,rmse,mae,r2,mape,rmse_step1,rmse_last_step,r2_step1,r2_last_step
Ridge Regression,24,24,2372.5441877824314,1694.9539073627682,0.866182367983114,5.484320005205257,415.115470443121,2867.33661317912,0.9959007631846666,0.8047990550006896
XGBoost,24,24,2276.147619614003,1624.8732648157002,0.8768354936148204,5.2882943863002465,441.6240235385675,2823.3505625040593,0.9953605067083645,0.8107420345809808
Ridge Regression,168,24,2116.4598085367297,1493.6604369913457,0.8935896238156359,4.751811706312282,296.4401012342068,2629.6129725292267,0.997910916022136,0.8359052436678744
XGBoost,168,24,2076.4356154485154,1469.0509302232895,0.8975762043599265,4.675708521164376,430.96518748103153,2549.4943068136045,0.9955846374198072,0.8457521464744523
