Feature,Missing_Pct,KNN_Change_Pct,MICE_Change_Pct,Hybrid_Change_Pct,Hybrid_Method
NAT,4.205069124423963,0.005342615373143249,0.0005799660813934048,0.0005799660813934048,MICE
HCT,3.6290322580645165,0.06597640879353839,0.0007524945263931501,0.0007524945263931501,MICE
MCH,3.6290322580645165,0.04997002368195009,0.000994784785016347,0.000994784785016347,MICE
MCHC,3.6290322580645165,0.0350318525429847,0.0010360836561900523,0.0010360836561900523,MICE
MCV,3.6290322580645165,0.012845825734226848,0.0016681072442526121,0.0016681072442526121,MICE
HGB,3.6290322580645165,0.03319961544678268,0.0029406957026354495,0.0029406957026354495,MICE
WBC,3.6290322580645165,0.4874370376332012,0.0032252592472268187,0.0032252592472268187,MICE
MO,20.852534562211982,1.5054285377755303,0.003296326672843768,0.003296326672843768,MICE
RBC,3.6290322580645165,0.07793664311731098,0.003391929775597336,0.003391929775597336,MICE
ALT,5.529953917050691,0.5234884639191554,0.007109907036496986,0.007109907036496986,MICE
NE,20.852534562211982,0.9861255709445559,0.008676810339990541,0.008676810339990541,MICE
LY,20.852534562211982,2.7134697072920337,0.009956895664542255,0.009956895664542255,MICE
CA,5.357142857142857,0.2339602411252432,0.014487171181624193,0.014487171181624193,MICE
KAL,4.6082949308755765,0.11053420983753257,0.015247695567162056,0.015247695567162056,MICE
PLT1,3.6290322580645165,0.026727843946902485,0.04375406869084918,0.026727843946902485,KNN
CREA,4.262672811059908,0.586624458378122,0.037108418086762185,0.037108418086762185,MICE
Age,3.110599078341014,0.23968572550198183,0.06068983487123779,0.06068983487123779,MICE
AST,5.64516129032258,0.8704945842568876,0.16540335370289205,0.16540335370289205,MICE
GLU,5.64516129032258,0.24285834373785056,0.1720357445478248,0.1720357445478248,MICE
BA,20.852534562211982,2.8184992101322353,0.3788741950034255,0.3788741950034255,MICE
EO,20.852534562211982,9.372636043851843,0.5832621931886877,0.5832621931886877,MICE
LDH,17.453917050691246,2.065979891435553,0.9189228260868659,0.9189228260868659,MICE
ALP,27.30414746543779,2.117307215080579,1.046222661878225,1.046222661878225,MICE
PCR,5.587557603686636,1.925607092163361,1.0743431927338076,1.0743431927338076,MICE
MOT,20.852534562211982,1.5039103223967412,1.692282978647904,1.5039103223967412,KNN
NET,20.852534562211982,1.5428453782496847,2.022033182767268,1.5428453782496847,KNN
LYT,20.852534562211982,3.2951712938020274,1.6655665173840823,1.6655665173840823,MICE
GGT,25.115207373271893,6.495559121131474,1.974670986973435,1.974670986973435,MICE
EOT,20.852534562211982,10.114585279452777,2.1129741757915688,2.1129741757915688,MICE
UREA,38.94009216589861,2.117159788484514,7.2258157050993175,2.117159788484514,KNN
CK,59.44700460829493,13.651825321687017,3.380335901779261,3.380335901779261,MICE
BAT,20.852534562211982,4.070520651458961,4.1639921038533885,4.070520651458961,KNN
