model,window_size,scaler,rmse,mae,r2,mape
Linear Regression,24,MinMaxScaler,227.13191620990108,134.07036160083484,0.9713545840554769,4080595466724.375
Ridge Regression,24,MinMaxScaler,227.09574554573462,134.1351125465581,0.9713637068704136,4105434756474.4683
Random Forest,24,MinMaxScaler,231.33208926980157,131.94822049535784,0.9702853538167443,1681147331642.4282
XGBoost,24,MinMaxScaler,231.86612399796934,133.04279490729266,0.970148001756356,2030865622216.6885
Linear Regression,24,StandardScaler,227.1319162099029,134.07036160081947,0.9713545840554765,4080595466695.504
Ridge Regression,24,StandardScaler,227.12658990512705,134.078742594797,0.971355927525204,4083874304514.9062
Random Forest,24,StandardScaler,231.39144958008845,131.9294447564569,0.9702701021763034,1694973480816.882
XGBoost,24,StandardScaler,230.76573457728566,132.90637959039034,0.9704306724248877,2074412613030.4219
