model,rmse,mae,r2,mape
Linear Regression,227.3848723892144,135.3995213660452,0.971290743886842,4817686878603.242
Ridge Regression,227.3774616292628,135.23850331533419,0.9712926151981232,4733400812125.37
Random Forest,237.72193936592106,136.6444586503626,0.9686211276609088,2276920641277.5425
XGBoost,238.31127323831464,138.79955144260256,0.9684653527682917,2862916478803.086
