model,n_estimators,data_percentage,scaler,r2_score,mse,mae,explained_variance
XGBoost,175,100.0,No Scaling,0.7662480601618108,21.542409345906943,3.596641622684558,0.7662493197222591
RandomForest,250,100.0,No Scaling,0.7659872632384186,21.566444201334274,3.530156407729404,0.766016706003801
GradientBoosting,250,60.0,MinMaxScaler,0.7467218641577476,23.11686956476208,3.806016685774152,0.746738071545604
