n_estimators,r2_score
50,0.7621524344980817
75,0.7636955100252736
100,0.7644260259220024
125,0.764600958431845
150,0.7649043211683715
175,0.7652645966819527
200,0.7655221828612453
225,0.7658670476285818
250,0.7659872632384186
