n_estimators,r2_score
50,0.7612572806217143
75,0.7636736430705875
100,0.7649255764422825
125,0.7656461546356806
150,0.7662378769980953
175,0.7662480601618108
200,0.7660087774879155
225,0.7656847990074217
250,0.7650403661131151
