data_percentage,r2_score
10%,0.7291954005615221
20%,0.7313265797852536
30%,0.7453210851136249
40%,0.7459745278794601
50%,0.7443431229070261
60%,0.7602782994068591
70%,0.7563486369601079
80%,0.7549501521804849
90%,0.761105367687733
100%,0.7659872632384186
