data_percentage,r2_score
10%,0.7109640066840903
20%,0.7239007107980562
30%,0.7393564843169775
40%,0.7456849624081545
50%,0.7437804163359474
60%,0.7559408840231907
70%,0.7575300000910962
80%,0.752912330391297
90%,0.7614056476809619
100%,0.7662480601618108
