n_estimators,r2_score
50,0.7197609027168297
75,0.7271095324149088
100,0.7319997457855019
125,0.735812928882869
150,0.7386117738757945
175,0.7408638283279799
200,0.7424798510419774
225,0.7440268214534451
250,0.7452216849838799
