data_percentage,r2_score
10%,0.7288160107182395
20%,0.7327183797172737
30%,0.7442203153831192
40%,0.7398530455116725
50%,0.7361397521190334
60%,0.7467108913912438
70%,0.7414590636840837
80%,0.7395551852004489
90%,0.7449288546588826
100%,0.7452216849838799
