Feature,Importance
EOT,0.34873205
CA,0.06897468
LDH,0.04352393
BAT,0.04000814
AST,0.03627133
WBC,0.03449445
EO,0.026833665
BA,0.024566693
HCT,0.023340214
MOT,0.022166671
NET,0.020625174
PCR,0.019063074
ALT,0.017792242
NAT,0.016717372
Age,0.016409276
