Strategy,Description,R²,MAE,RMSE,Bias
RobustScaler,RobustScaler + XGBoost,0.7552431422238273,3.6710518591960803,4.734578918157959,0.016952086871274627
Lower LR,"lr=0.05, n_est=300",0.7539749135238345,3.6769818878017,4.746829383297204,0.034957499711392094
Regularization,"alpha=1, lambda=1, gamma=0.1",0.7517497442598491,3.7094856439825192,4.768247368174046,0.03286822917592629
Log Transform,Log-transform target,0.7519052824015262,3.714400502777334,4.7667533907843165,-0.3048775527331354
Baseline,Default XGBoost (n_est=150),0.7461933811261683,3.7156431394648455,4.821313781964477,0.04608350576220945
Bias Correction,Baseline - 0.000°C,0.7461934672140808,3.7156452450644273,4.821312964300864,0.045997689219843776
Subsampling,"subsample=0.8, colsample=0.8",0.7511856384036838,3.7179548874692556,4.77366180362993,0.04546672493668442
Optimized,All best params combined,0.7469366657224803,3.7521780821633706,4.8142488838461075,0.030389792447809417
