model,best_params,r2_score,mse,explained_variance
XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7687640332863632,21.310539086391973,0.7687640627698785
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7679730369306842,21.383436737196302,0.7679738940208611
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.7657345052666742,21.58973819280459,0.7657485706200653
