model,best_params,accuracy,precision,recall,f1_score,roc_auc,training_time_s
XGBoost_GridSearch,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 150, 'subsample': 1.0}",0.9243697478991597,0.9354838709677419,0.9206349206349206,0.928,0.9720096371882085,1507.7656753063202
KNN_GridSearch,"{'metric': 'manhattan', 'n_neighbors': 20, 'p': 1, 'weights': 'distance'}",0.9369747899159664,0.9586776859504132,0.9206349206349206,0.9392712550607287,0.9738520408163265,5.984824895858765
RandomForest_GridSearch,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.9369747899159664,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.97218679138322,336.26385974884033
GradientBoosting_GridSearch,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.9033613445378151,0.9478260869565217,0.8650793650793651,0.9045643153526971,0.9697420634920635,884.7376520633698
